"[-0.27320587635040283, 0.1925649344921112, 0.6134352684020996]","[-0.2765296995639801, 0.1504434198141098, 0.6225371360778809]","[-0.27559852600097656, 0.1608475297689438, 0.6236701011657715]","[-0.2754462957382202, 0.1549832671880722, 0.6267214417457581]","[-0.24575622379779816, 0.14829832315444946, 0.6432206630706787]","[-0.2433679699897766, 0.13311997056007385, 0.6450299024581909]","[-0.23363831639289856, 0.15432626008987427, 0.636242687702179]","[-0.2819053828716278, 0.028849652037024498, 0.5737084746360779]","[-0.13191115856170654, 0.08185247331857681, 0.5747197866439819]","[-0.2642143666744232, 0.1644325852394104, 0.5907323360443115]","[-0.21830962598323822, 0.14925386011600494, 0.5705740451812744]","[-0.2763015031814575, 0.0049478900618851185, 0.4078826904296875]","[-0.020652607083320618, 0.1028565987944603, 0.5585994720458984]","[-0.21963945031166077, -0.16385705769062042, 0.34801769256591797]","[0.18946519494056702, 0.0579412616789341, 0.44852885603904724]","[-0.06628693640232086, -0.2420557588338852, 0.3359592854976654]","[0.292603075504303, 0.028828205540776253, 0.36038827896118164]","[-0.04195433482527733, -0.23925279080867767, 0.33435148000717163]","[0.3417886197566986, 0.005094932392239571, 0.3527390658855438]","[-0.02355208992958069, -0.2375139594078064, 0.33363041281700134]","[0.33544379472732544, -0.0124498400837183, 0.36908158659935]","[-0.035597145557403564, -0.24029763042926788, 0.3239923119544983]","[0.2860889434814453, 0.023292776197195053, 0.3610994517803192]","[-0.0901801586151123, -0.004955920856446028, -0.02634335309267044]","[0.09038027375936508, 0.004170786589384079, 0.03236134350299835]","[-0.1242411807179451, 0.07560298591852188, -0.326596200466156]","[0.2603819668292999, 0.01875131018459797, -0.2834656536579132]","[-0.03253591060638428, 0.17494113743305206, -0.5506755113601685]","[0.4226575493812561, 0.17315538227558136, -0.2588810324668884]","[-0.044803231954574585, 0.20264586806297302, -0.5829150676727295]","[0.4311653673648834, 0.15915895998477936, -0.24501924216747284]","[-0.10850130021572113, 0.26867201924324036, -0.6351442933082581]","[0.46060842275619507, 0.23971734941005707, -0.20126652717590332]"
"[-0.2590719759464264, 0.06579338014125824, 0.6140904426574707]","[-0.26294684410095215, 0.02596384659409523, 0.6230008006095886]","[-0.2621370851993561, 0.03695809468626976, 0.6239258646965027]","[-0.2621746063232422, 0.03295140713453293, 0.6267907619476318]","[-0.2365754097700119, 0.02221434935927391, 0.6444313526153564]","[-0.23509614169597626, 0.008363407105207443, 0.645832359790802]","[-0.224386066198349, 0.03008364513516426, 0.6367026567459106]","[-0.2715785801410675, -0.07582629472017288, 0.5738991498947144]","[-0.13065452873706818, -0.036641161888837814, 0.5749099850654602]","[-0.2507047951221466, 0.04596646875143051, 0.5916845798492432]","[-0.2066347450017929, 0.02814759686589241, 0.5717213749885559]","[-0.2636813521385193, -0.1083710640668869, 0.3987741768360138]","[-0.028370672836899757, 0.07312240451574326, 0.559417188167572]","[-0.17149700224399567, -0.17588236927986145, 0.2521076202392578]","[0.1748678982257843, 0.047699615359306335, 0.42899563908576965]","[-0.038986701518297195, -0.1274263560771942, 0.13471443951129913]","[0.2921697199344635, 0.012950231321156025, 0.3435809016227722]","[-0.026182662695646286, -0.10741101950407028, 0.11858728528022766]","[0.3424822688102722, -0.01030847616493702, 0.34654346108436584]","[-0.014633608981966972, -0.1047310158610344, 0.1122615784406662]","[0.3356490731239319, -0.022904887795448303, 0.36638063192367554]","[-0.012587775476276875, -0.11972690373659134, 0.1168348640203476]","[0.2860560417175293, 0.004583076573908329, 0.3479974567890167]","[-0.0780983567237854, -0.018525296822190285, -0.02640732005238533]","[0.07824499160051346, 0.018903370946645737, 0.03238149732351303]","[0.016418077051639557, 0.030173253268003464, -0.324791818857193]","[0.10905945301055908, 0.14398349821567535, -0.22593580186367035]","[0.15440863370895386, 0.11969301849603653, -0.4616446793079376]","[0.23516348004341125, 0.23688186705112457, -0.4194295406341553]","[0.1469828486442566, 0.14256738126277924, -0.4839674234390259]","[0.24091602861881256, 0.21002037823200226, -0.43700656294822693]","[0.11335830390453339, 0.1986314207315445, -0.5334398746490479]","[0.22890374064445496, 0.2527342438697815, -0.4495497941970825]"
"[-0.259649395942688, 0.06955934315919876, 0.6143282651901245]","[-0.2629493474960327, 0.031134692952036858, 0.6235466599464417]","[-0.262050062417984, 0.04077034816145897, 0.6242426037788391]","[-0.26207491755485535, 0.035743989050388336, 0.6274042129516602]","[-0.23691371083259583, 0.026919018477201462, 0.6455046534538269]","[-0.23525720834732056, 0.011535219848155975, 0.6462767124176025]","[-0.22463278472423553, 0.03407303988933563, 0.6375820636749268]","[-0.2686813175678253, -0.06964971870183945, 0.573914647102356]","[-0.1312108039855957, -0.022235829383134842, 0.5755093097686768]","[-0.25055041909217834, 0.04944860190153122, 0.592450737953186]","[-0.20725341141223907, 0.03305099532008171, 0.5725808143615723]","[-0.26032522320747375, -0.11086723208427429, 0.39072155952453613]","[-0.031198710203170776, 0.07690951228141785, 0.5603665709495544]","[-0.15537700057029724, -0.2063319981098175, 0.22316233813762665]","[0.17577405273914337, 0.06102358177304268, 0.40548089146614075]","[-0.04017080366611481, -0.1616431027650833, 0.027393843978643417]","[0.31799080967903137, 0.0482538565993309, 0.3037160336971283]","[-0.03770923614501953, -0.15035416185855865, -0.009522052481770515]","[0.37755969166755676, 0.024484438821673393, 0.30151450634002686]","[-0.04247754067182541, -0.1475307196378708, -0.030057121068239212]","[0.3718116879463196, 0.013217000290751457, 0.32236358523368835]","[-0.020983994007110596, -0.15522940456867218, -0.0007096717017702758]","[0.31703901290893555, 0.04082966223359108, 0.3071891963481903]","[-0.08233167231082916, -0.017737677320837975, -0.02776843123137951]","[0.08320935070514679, 0.018161067739129066, 0.03341943398118019]","[-0.009011180140078068, 0.16342099010944366, -0.3027917146682739]","[0.15882153809070587, 0.10675222426652908, -0.23730464279651642]","[0.024851426482200623, 0.2628343403339386, -0.5142722725868225]","[0.47519826889038086, 0.1535702496767044, -0.4798373281955719]","[0.005588947795331478, 0.2839069366455078, -0.5534257292747498]","[0.49246132373809814, 0.12388040870428085, -0.49653828144073486]","[-0.08184459805488586, 0.3000508248806, -0.5820294618606567]","[0.4726414084434509, 0.16407553851604462, -0.5007813572883606]"
"[-0.2489161640405655, 0.0818965882062912, 0.6226900219917297]","[-0.25262850522994995, 0.04044954851269722, 0.6330665349960327]","[-0.25159963965415955, 0.051006242632865906, 0.6325234174728394]","[-0.25144439935684204, 0.046705663204193115, 0.6360374093055725]","[-0.225703626871109, 0.03741483390331268, 0.6563467979431152]","[-0.22432465851306915, 0.022987615317106247, 0.6566504240036011]","[-0.2139492779970169, 0.04469793662428856, 0.6478763222694397]","[-0.25659796595573425, -0.06880633533000946, 0.5786778926849365]","[-0.11565760523080826, -0.018445100635290146, 0.581933319568634]","[-0.23993733525276184, 0.059438202530145645, 0.6000458598136902]","[-0.194287970662117, 0.043814435601234436, 0.5808350443840027]","[-0.25932577252388, -0.12540820240974426, 0.39102017879486084]","[-0.022197086364030838, 0.09512794017791748, 0.560393750667572]","[-0.1656421273946762, -0.20646631717681885, 0.21293257176876068]","[0.1761723905801773, 0.08616072684526443, 0.3883258104324341]","[-0.11230707913637161, -0.13320860266685486, -0.014459798112511635]","[0.2395174354314804, 0.09397724270820618, 0.3132133483886719]","[-0.11908892542123795, -0.12147311121225357, -0.056855712085962296]","[0.27708739042282104, 0.07956743985414505, 0.313551664352417]","[-0.13106296956539154, -0.10890853404998779, -0.07973267138004303]","[0.24056506156921387, 0.07266566902399063, 0.3397606313228607]","[-0.09857875853776932, -0.12050298601388931, -0.04463736712932587]","[0.22229832410812378, 0.08665288239717484, 0.3165081739425659]","[-0.08306457102298737, -0.02254083938896656, -0.027737900614738464]","[0.08425714075565338, 0.022065840661525726, 0.033332616090774536]","[-0.0840340405702591, 0.14130160212516785, -0.30494967103004456]","[0.21856439113616943, 0.09893655776977539, -0.22943948209285736]","[-0.03388023003935814, 0.24375508725643158, -0.5813734531402588]","[0.46579769253730774, 0.1511131376028061, -0.5343220829963684]","[-0.0518031008541584, 0.2780596613883972, -0.6235542297363281]","[0.4767455458641052, 0.12142311036586761, -0.5587021708488464]","[-0.15687772631645203, 0.2623029351234436, -0.6305415630340576]","[0.45387300848960876, 0.14787399768829346, -0.5332144498825073]"
"[-0.2493007630109787, 0.04147624596953392, 0.6260971426963806]","[-0.25162139534950256, 0.0012247724225744605, 0.6355218887329102]","[-0.2509573996067047, 0.01306011714041233, 0.6349585652351379]","[-0.25090909004211426, 0.009243477135896683, 0.6377259492874146]","[-0.22424940764904022, -0.0008563107694499195, 0.6613574028015137]","[-0.22323814034461975, -0.014371506869792938, 0.6608740091323853]","[-0.212320014834404, 0.0065935817547142506, 0.651772141456604]","[-0.24548029899597168, -0.1036260798573494, 0.5779272317886353]","[-0.11505686491727829, -0.050277430564165115, 0.5838106870651245]","[-0.2375667244195938, 0.023051125928759575, 0.6009058356285095]","[-0.19463197886943817, 0.009506204165518284, 0.5834651589393616]","[-0.25500693917274475, -0.14203301072120667, 0.3827962577342987]","[-0.02229752577841282, 0.0992676168680191, 0.5583915710449219]","[-0.19298774003982544, -0.20396354794502258, 0.1552080512046814]","[0.1366196721792221, 0.154169499874115, 0.377709299325943]","[-0.23824214935302734, -0.05344371870160103, -0.03897392749786377]","[0.16793718934059143, 0.2578180432319641, 0.3564271330833435]","[-0.2694145441055298, -0.04124840721487999, -0.07192759960889816]","[0.21354566514492035, 0.25409063696861267, 0.39636510610580444]","[-0.2827329933643341, -0.025304393842816353, -0.07932078838348389]","[0.1837347149848938, 0.2523135244846344, 0.4385074973106384]","[-0.2319549322128296, -0.0391324982047081, -0.06132946163415909]","[0.15110106766223907, 0.25393974781036377, 0.37631815671920776]","[-0.08060475438833237, -0.03355254977941513, -0.02740810438990593]","[0.0818958580493927, 0.03227652236819267, 0.032896220684051514]","[-0.14233438670635223, 0.08416065573692322, -0.34755557775497437]","[0.17806538939476013, 0.16587050259113312, -0.22975879907608032]","[-0.057583894580602646, 0.18676124513149261, -0.6542162895202637]","[0.37031641602516174, 0.2817257344722748, -0.5752667188644409]","[-0.0733676552772522, 0.20850375294685364, -0.6958796381950378]","[0.3751046359539032, 0.25855013728141785, -0.6062121391296387]","[-0.1772008091211319, 0.21462613344192505, -0.7178947925567627]","[0.289349764585495, 0.29867592453956604, -0.5904152393341064]"
"[-0.27487912774086, -0.08038761466741562, 0.6108630299568176]","[-0.2656744718551636, -0.11739279329776764, 0.6199538707733154]","[-0.26740941405296326, -0.10612893104553223, 0.6204093098640442]","[-0.2680565118789673, -0.10705078393220901, 0.6208897233009338]","[-0.24600400030612946, -0.11348375678062439, 0.6507259011268616]","[-0.24616533517837524, -0.1246231347322464, 0.6483383178710938]","[-0.23469436168670654, -0.10312136262655258, 0.6360040903091431]","[-0.22918517887592316, -0.1982772946357727, 0.5699597597122192]","[-0.13696017861366272, -0.11277351528406143, 0.5772042870521545]","[-0.24319660663604736, -0.0879639983177185, 0.5845745801925659]","[-0.21658752858638763, -0.08967255800962448, 0.5691421031951904]","[-0.22651392221450806, -0.19651052355766296, 0.38137149810791016]","[-0.06395189464092255, 0.09878985583782196, 0.5494049787521362]","[-0.20157508552074432, -0.20116350054740906, 0.20031844079494476]","[-0.12099535763263702, 0.22450214624404907, 0.33957478404045105]","[-0.23343272507190704, 0.05587612837553024, 0.23436497151851654]","[-0.2645869851112366, 0.3719059228897095, 0.33847418427467346]","[-0.2585649788379669, 0.0877649188041687, 0.26794371008872986]","[-0.25628525018692017, 0.37028104066848755, 0.3914148509502411]","[-0.25805577635765076, 0.09003878384828568, 0.27950841188430786]","[-0.26153287291526794, 0.3640420734882355, 0.42052528262138367]","[-0.22048518061637878, 0.06449651718139648, 0.2371988445520401]","[-0.2849591076374054, 0.36211153864860535, 0.3609786927700043]","[-0.051039524376392365, -0.05591192841529846, -0.028200609609484673]","[0.051117345690727234, 0.05429307371377945, 0.03394336625933647]","[-0.1396024078130722, 0.012363755144178867, -0.35857605934143066]","[-0.02113664336502552, 0.2741587162017822, -0.1682482659816742]","[-0.053914137184619904, 0.0759483054280281, -0.6721974611282349]","[0.08118108659982681, 0.47962766885757446, -0.5243527889251709]","[-0.06468251347541809, 0.08519385010004044, -0.7129939794540405]","[0.07466442137956619, 0.4651932418346405, -0.5547648072242737]","[-0.16582706570625305, 0.08101232349872589, -0.7410742044448853]","[-0.02013484761118889, 0.5227278470993042, -0.5601190328598022]"
"[-0.24878206849098206, -0.13016356527805328, 0.627166211605072]","[-0.22816377878189087, -0.16171787679195404, 0.6342335343360901]","[-0.23147700726985931, -0.14939948916435242, 0.6355616450309753]","[-0.2322513610124588, -0.15080012381076813, 0.6346207857131958]","[-0.21802085638046265, -0.15779636800289154, 0.6639701128005981]","[-0.2188033014535904, -0.16866958141326904, 0.6612565517425537]","[-0.20795531570911407, -0.1475856453180313, 0.6478986740112305]","[-0.16719047725200653, -0.21524879336357117, 0.5824720859527588]","[-0.12633754312992096, -0.13422447443008423, 0.5820356607437134]","[-0.2128685861825943, -0.1286819726228714, 0.5984780192375183]","[-0.1970612108707428, -0.13338905572891235, 0.5816816091537476]","[-0.15021157264709473, -0.21756123006343842, 0.39539477229118347]","[-0.10736078023910522, 0.09908575564622879, 0.5397160053253174]","[-0.21121905744075775, -0.19896885752677917, 0.22645235061645508]","[-0.190731480717659, 0.20563319325447083, 0.3332071006298065]","[-0.2968451976776123, 0.050897836685180664, 0.287473201751709]","[-0.34614261984825134, 0.2689356803894043, 0.32576507329940796]","[-0.33298608660697937, 0.08137913793325424, 0.30897626280784607]","[-0.3444054126739502, 0.2568832337856293, 0.37309530377388]","[-0.331103652715683, 0.0809156745672226, 0.32384100556373596]","[-0.34382903575897217, 0.24469392001628876, 0.41360461711883545]","[-0.2863459885120392, 0.059040140360593796, 0.2885899841785431]","[-0.36138424277305603, 0.25589460134506226, 0.3466835021972656]","[0.0066762762144207954, -0.06240961328148842, -0.027549847960472107]","[-0.0070898751728236675, 0.06183037906885147, 0.03338788449764252]","[-0.05559916794300079, -0.04758671298623085, -0.38534489274024963]","[-0.2303985059261322, 0.20184385776519775, -0.12978193163871765]","[-0.036437295377254486, 0.04593615233898163, -0.7030230164527893]","[-0.1270165592432022, 0.4194033741950989, -0.4939904510974884]","[-0.06307240575551987, 0.05778224766254425, -0.7422909140586853]","[-0.13048937916755676, 0.40518927574157715, -0.5025238990783691]","[-0.15496321022510529, 0.02508402429521084, -0.7750574946403503]","[-0.20460018515586853, 0.4439908266067505, -0.5005120635032654]"
"[-0.19159607589244843, -0.0646955743432045, 0.6228273510932922]","[-0.1863149255514145, -0.09542736411094666, 0.6276471614837646]","[-0.18989357352256775, -0.08413134515285492, 0.6293774247169495]","[-0.1899091899394989, -0.08550256490707397, 0.6279558539390564]","[-0.16909563541412354, -0.0986437201499939, 0.6558529138565063]","[-0.16915614902973175, -0.10970545560121536, 0.6526406407356262]","[-0.15870770812034607, -0.08886086940765381, 0.6389115452766418]","[-0.1521470844745636, -0.16131199896335602, 0.5807870626449585]","[-0.09840699285268784, -0.1034020185470581, 0.5678104758262634]","[-0.16447174549102783, -0.06487029045820236, 0.5947155356407166]","[-0.14446492493152618, -0.07792150974273682, 0.5749794840812683]","[-0.14985515177249908, -0.18183952569961548, 0.39616894721984863]","[-0.09087947010993958, 0.10969147086143494, 0.527617335319519]","[-0.26604902744293213, -0.11212626844644547, 0.2754710614681244]","[-0.1836293786764145, 0.20604856312274933, 0.34667012095451355]","[-0.3846210241317749, 0.15216323733329773, 0.3770540654659271]","[-0.327546089887619, 0.28295010328292847, 0.33363237977027893]","[-0.4319494962692261, 0.18545572459697723, 0.41131284832954407]","[-0.32205143570899963, 0.2741747796535492, 0.37547460198402405]","[-0.4285990595817566, 0.18647710978984833, 0.4283541738986969]","[-0.31776973605155945, 0.26805242896080017, 0.40957698225975037]","[-0.3749901354312897, 0.16093763709068298, 0.38029706478118896]","[-0.3428422212600708, 0.2734573483467102, 0.3528900742530823]","[0.010434066876769066, -0.05687781050801277, -0.027486460283398628]","[-0.011420881375670433, 0.0559377558529377, 0.033376239240169525]","[-0.015294520184397697, -0.08491425961256027, -0.3849204182624817]","[-0.24822694063186646, 0.18786869943141937, -0.09251609444618225]","[0.027322376146912575, -0.0003553976712282747, -0.7180139422416687]","[-0.27325132489204407, 0.3608836233615875, -0.3518548905849457]","[-0.002358799334615469, 0.011470569297671318, -0.759568989276886]","[-0.2903743386268616, 0.3446347415447235, -0.3689650297164917]","[-0.10310278832912445, -0.019611170515418053, -0.7995089292526245]","[-0.36628827452659607, 0.3916931748390198, -0.3486389219760895]"
"[-0.18618515133857727, -0.24974322319030762, 0.598558783531189]","[-0.16637103259563446, -0.25810953974723816, 0.6124897599220276]","[-0.16877827048301697, -0.2444450706243515, 0.6136583685874939]","[-0.16957193613052368, -0.24783411622047424, 0.6117638349533081]","[-0.17487019300460815, -0.254148006439209, 0.6269498467445374]","[-0.17499510943889618, -0.2670758366584778, 0.624895453453064]","[-0.16547098755836487, -0.24606648087501526, 0.6108282208442688]","[-0.08072973042726517, -0.21372954547405243, 0.5954442620277405]","[-0.1248178631067276, -0.14655953645706177, 0.5554690361022949]","[-0.14217306673526764, -0.2192464917898178, 0.587330162525177]","[-0.14823564887046814, -0.22746673226356506, 0.5571357607841492]","[-0.000517237582243979, -0.16852298378944397, 0.4549809694290161]","[-0.17716355621814728, 0.07943569123744965, 0.49723321199417114]","[-0.07089687138795853, -0.11481864750385284, 0.35529622435569763]","[-0.21195358037948608, 0.08403193205595016, 0.2874020040035248]","[-0.21028254926204681, -0.013273590244352818, 0.3403531014919281]","[-0.21026629209518433, -0.044290125370025635, 0.2656089663505554]","[-0.291096955537796, -0.018222756683826447, 0.34011220932006836]","[-0.17244629561901093, -0.09262317419052124, 0.2763800621032715]","[-0.32562267780303955, -0.028344465419650078, 0.35230034589767456]","[-0.16146141290664673, -0.10329637676477432, 0.3393029272556305]","[-0.21475908160209656, -0.01706445775926113, 0.334573894739151]","[-0.20622552931308746, -0.06060761585831642, 0.2857959270477295]","[0.06558507680892944, -0.05326249077916145, -0.022554097697138786]","[-0.06594818830490112, 0.05213477090001106, 0.026979001238942146]","[0.04724796861410141, -0.11913447082042694, -0.42570409178733826]","[-0.2515956163406372, 0.19124412536621094, -0.08892130851745605]","[0.07123657315969467, -0.05560723692178726, -0.787806510925293]","[-0.3696603775024414, 0.455391526222229, -0.27402377128601074]","[0.044543586671352386, -0.04584229364991188, -0.8301555514335632]","[-0.389341801404953, 0.4409860670566559, -0.285200297832489]","[-0.028430150821805, -0.12864843010902405, -0.8755826354026794]","[-0.47484642267227173, 0.4555707275867462, -0.2586396634578705]"
"[-0.12629331648349762, -0.3832304775714874, 0.5519226789474487]","[-0.1032123863697052, -0.38219955563545227, 0.5679312944412231]","[-0.10523079335689545, -0.36898115277290344, 0.5677294731140137]","[-0.10698021203279495, -0.3714504539966583, 0.5654487609863281]","[-0.127113476395607, -0.38239654898643494, 0.5809637308120728]","[-0.1270187497138977, -0.39458972215652466, 0.5784710645675659]","[-0.11757410317659378, -0.37383589148521423, 0.5636652112007141]","[-0.007134287618100643, -0.29599806666374207, 0.5859426856040955]","[-0.12561601400375366, -0.2537481486797333, 0.531739354133606]","[-0.07711610198020935, -0.3370051383972168, 0.551382839679718]","[-0.10560225695371628, -0.3502981662750244, 0.5199648141860962]","[0.09908206015825272, -0.16333869099617004, 0.4497208893299103]","[-0.1929488480091095, -0.03374626487493515, 0.5020091533660889]","[0.12679526209831238, -0.09806396812200546, 0.36121299862861633]","[-0.28289011120796204, 0.014369430020451546, 0.29479628801345825]","[0.018583526834845543, 0.006706413347274065, 0.32677146792411804]","[-0.30368733406066895, -0.03973119705915451, 0.1327192485332489]","[-0.03912879526615143, 0.013690213672816753, 0.32160016894340515]","[-0.2781844735145569, -0.0732487142086029, 0.10131321102380753]","[-0.07448502629995346, 0.0017039766535162926, 0.3322174847126007]","[-0.24881719052791595, -0.08570051193237305, 0.1331561952829361]","[0.00804100651293993, 0.005386918783187866, 0.3188837766647339]","[-0.2931775152683258, -0.05522461235523224, 0.12987034022808075]","[0.08657213300466537, -0.027542149648070335, -0.021327383816242218]","[-0.0867476761341095, 0.029163459315896034, 0.025455394759774208]","[0.11730773746967316, -0.10042960941791534, -0.4253421127796173]","[-0.24791571497917175, 0.2076815366744995, -0.10670991241931915]","[0.1460525393486023, -0.004704458173364401, -0.7959548830986023]","[-0.40427523851394653, 0.5533328652381897, -0.3024393618106842]","[0.1269257366657257, 0.008698439225554466, -0.8391087651252747]","[-0.42626887559890747, 0.5491353273391724, -0.3309131860733032]","[0.12025386840105057, -0.06685526669025421, -0.9098477363586426]","[-0.4883801341056824, 0.5325884222984314, -0.37458038330078125]"
